search_title,title,company,location,url,description
data+analyst,Data Analyst I,Acorns,United States,https://www.linkedin.com/jobs/view/data-analyst-i-at-acorns-4358261093?position=1&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=C3KTSxXxyMAY7VXoDGB93g%3D%3D,"At Acorns, our mission is to look after the financial best interests of the up-and-coming, beginning with the empowering, proud step of micro-investing. How do we accomplish our mission? Our values. Lead With Heart - With compassion, integrity, and tenacity, inspire yourself and others to move past all previous thresholds of possibility Make Bold Decisions - We are creating a new world. Be optimistic, adventurous, and courageous. Leap fearlessly into the future Always Build Trust - Say what you mean, mean what you say, and do what you say you’re going to do. We are all owners. We are one team Never Stop Growing - Change IS the constant. Stay hungry and curious. Be relentless in the pursuit of progress Find a way - Never settle, no excuses, nothing is impossible. Just make it happen Our values guide us, and our mission drives us. Come join us and help deliver financial wellness for the whole family, putting the tools of wealth-making into everyone’s hands. Data Analyst I | Acorns Acorns is seeking a Data Analyst I to serve as a key partner for our Core Experience team, specifically focused on our Investing and Banking product lines. In this role, you will leverage data to optimize the customer journey, working at the intersection of Product, Finance, and Operations to ensure our core features deliver maximum value to our customers. You will play a vital role in shaping the product roadmap by transforming raw data into actionable insights that drive retention and enhance the overall customer experience. Acorns is a remote-first organization, offering the flexibility to work remotely while providing optional access to office space in Irvine, CA. What You Will Do At Acorns Collaborate with the Core Experience team to drive the ideation and rigorous analysis of product experiments. Partner with Product, Finance, and Operations to build and maintain robust reports and dashboards specifically for our Core Experience product lines. Write and optimize complex SQL queries to extract data from various sources for deep-dive analysis. Utilize Databricks and DBT to transform raw data into clean, accessible datasets for the broader team. Design and manage intuitive Tableau dashboards that track key performance indicators (KPIs) for Investing and Banking features. Monitor customer behavior and product performance using Amplitude to identify opportunities for friction reduction and growth. Work with managers and cross-functional teams to establish priorities, including new infrastructure and tool building. What You Will Bring To Acorns 3-5 years of Analytics experience, preferably supporting product development or financial services. Strong SQL skills for data extraction and experience with data visualization tools like Tableau. A solid understanding of statistical concepts and hands-on experience of A/B testing methodologies and product experimentation. Familiarity with modern data stack tools such as Databricks, DBT, and product analytics platforms like Amplitude. The ability to translate complex numerical findings into clear, persuasive recommendations for non-technical stakeholders in Finance and Operations. Hunger to deliver game-changing products. Exceptional drive and precision in delivery. A belief that your work is tied to your life's mission. Optimistic about the potential of societal change. You are not expected to have experience with all listed requirements. If you feel passionate about Acorns' mission, vision, and values, please apply. What We Offer Competitive salary and stock options A comprehensive benefits package for you and your family Flexible work location, hours, and paid time off 401(k) matching Monthly Acorns account contribution & GoHenry account for your family Mindfulness and Financial Wellness resources, Headspace and Addition Wealth Acorns Career Development Program (Ongoing training sessions, development plans, development check-ins, Cornerstone’s online training platform) Roots Leadership Program for Emerging Leaders Community week onsite gatherings and various virtual events Talented and motivated team members who care deeply about one another, our mission, and our customers. The rare opportunity to create a new world. We inspire one another every day to do meaningful work that solves big societal challenges. About Acorns Acorns is a financial wellness app that helps everyday people and families save and invest money for the long term. Since 2014, Acorns has grown into a global company with multiple life-stage products serving the needs of kids, teens, adults, and parents. Named one of Time’s “World’s Best Brands of 2024,” Acorns has helped over 14 million people save & invest over $25 billion dollars, much of it from spare change and small amounts. Compensation Information The pay range for this position at commencement of employment is expected to be between $121,000 and $140,000/year; however, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements, including equity grants, and discretionary cash bonus awards in addition to a full range of medical, financial, and/or other benefits (including 401(k) eligibility and various paid time off benefits, such as vacation, sick time, and parental leave), dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment. If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors. Work Authorization Acorns participates in E-Verify to confirm the employment eligibility of all newly hired employees. For more information about E-Verify, please visit www.e-verify.gov"
data+analyst,Data Analyst,LF Driscoll,"Bala-Cynwyd, PA",https://www.linkedin.com/jobs/view/data-analyst-at-lf-driscoll-4373615216?position=2&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=7QqBZM4Mk3TvAwWlBFvueQ%3D%3D,"Job Description Data Analyst LF Driscoll, part of the STO Building Group, is seeking a Data Analyst in Bala Cynwyd. At LF Driscoll you will join one of the largest construction managers / General Contracting firms in the Country. We are committed to providing our clients with top-notch professionals to help build the project safely and for the best value. LF Driscoll is seeking a highly skilled Data Analyst to support project management, executive leadership, and operations teams with data integration, automation, reporting, and cloud-based tools. This role blends technical expertise with strong communication skills, ensuring stakeholders at all levels have the insights and tools they need for decision-making. Key Responsibilities PowerBI Dashboard Development & Reporting Design, build, and maintain dashboards for Construction projects and internal use Dashboards subject matter typically involving construction management, construction accounting, and internal financial and project tracking analytics Develop predictive analytics dashboards, including weather impact tracking Smartsheet Web Based Collaboration Implementation and Training Provide training for project managers on Smartsheet functionality. Design and implement Smartsheet API integrations to improve workflow efficiency. Cloud Data Engineering (GCP) Develop and maintain data pipeline automations using GCP Cloud Composer/Airflow DAGs (written in Python) Use best security practices in Google Cloud Platform (using GCP Secrets Manager) Develop and maintain Cloud Functions that integrate with other platforms Manage ingestion of external data into BigQuery. Build and optimize views in BigQuery for reporting and analytics. Support AI projects leveraging GCP AI/ML capabilities. Continue development of project schedule Primavera P6 XER file automations integrated with BigQuery MS 365 / Azure - Process Automation & Tool Building Design Power Automate workflows for project and scheduling needs. Manage integrations with Lucid Charts, Alchemer, and other SaaS tools. Data Training & Support Conduct Power Query training Support teams with best practices in dashboard usage and reporting standards. Maintain a historical project schedule database for analytics and planning. Collaboration & Stakeholder Management Partner with project teams to identify and scope data needs. Engage with executives and C-suite to deliver tailored reporting for leadership decisions. Translate business requirements into technical solutions aligned with enterprise goals. Qualifications Strong hands-on experience with Power BI & Smartsheet, including dashboards, automations, integrations, and training. Expertise in Google Cloud Platform (BigQuery, AI/ML, data pipelines). Proficiency with data visualization tools, Lucid, and survey/feedback tools (e.g., Alchemer/SurveyGizmo). Solid knowledge of Power Query, Power Automate, and related Microsoft tools. Experience with Primavera P6 data workflows (XER format) preferred. Demonstrated success building and maintaining executive-level and project-level dashboards. Strong analytical, problem-solving, and automation skills. Excellent communication skills for interacting with both technical users and executive leadership. Benefits : The Company offers the following benefits for this position, subject to applicable eligibility requirements: [Medical Insurance] [Dental Insurance] [Vision Insurance] [Health Savings Account] [Healthcare Flexible Spending Account] [Dependent Care Flexible Spending Account] [401(k) retirement plan with employer match] [Life & AD&D Insurance] [Long-term Disability Insurance] [Short-term Disability Insurance] [Critical Illness Insurance] [Accident Insurance] [Hospital Indemnity Insurance] [Home & Auto Insurance] [Family Support] [Pre-tax Paid Parking/Public Transportation] [Paid time off: 2 Weeks for Non-Exempt and Three Weeks for Exempt] [Time Away Benefits] [8 Paid Holidays] [Group Legal] [Employee Stock Purchase Plan] [Identity Theft Protection] [Group Legal] [Pet Insurance] [Employee Assistance Program] Disclaimer: The salary, other compensation, and benefits information is accurate as of the date of this posting. The Company reserves the right to modify this information at any time, subject to applicable law. EEO Statement The STO Building Group family of companies—Structure Tone, Structure Tone Southwest, Pavarini Construction Co., Pavarini McGovern, LF Driscoll, Govan Brown, Ajax Building Company, BCCI Construction, Layton Construction, Abbott Construction, and RC Andersen—includes over 4,000 employees located in offices throughout the US, Canada, UK, and Ireland. We provide a complete range of construction services, from site selection analysis, design constructability review and aesthetic enhancements to interior fit-outs, new building construction, and building infrastructure upgrades and modernization. Learn more about how we partner with our clients to imagine, execute, and realize their vision at stobuildinggroup.com . We are an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics . About Us Founded over nine decades ago, LF Driscoll manages the construction of projects located in Pennsylvania, New Jersey, and New York; delivering projects of all sizes and types ranging from $50,000 to over $1.5 billion dollars. We provide services under a variety of contract methods, including CM at Risk, CM Agency, Integrated Project Delivery (IPD), and Design/Build for new core/shell, renovations/additions, interior fit-outs, and infrastructure construction projects. Our growth has stemmed from our reputation for understanding and satisfying our clients’ needs with transparency, technical expertise, and commitment to excellence. In 2017, Philadelphia-based LF Driscoll (LFD) founded LF Driscoll Healthcare (LFDH) to specifically service healthcare clients located in New York and New Jersey. LFD and LFDH work closely together to service our clients across the Mid-Atlantic and Northeast. The STO Building Group family of companies —Structure Tone, Structure Tone Southwest, Pavarini Construction Co., Pavarini McGovern, LF Driscoll, Govan Brown, Ajax Building Company, BCCI Construction, Layton Construction, Abbott Construction, and RC Andersen—includes over 4,000 employees located in offices throughout the US, Canada, UK, and Ireland. We provide a complete range of construction services, from site selection analysis, design constructability review and aesthetic enhancements to interior fit-outs, new building construction, and building infrastructure upgrades and modernization. Learn more about how we partner with our clients to imagine, execute, and realize their vision at stobuildinggroup.com."
data+analyst,Data Analyst (SQL),New York Technology Partners,Los Angeles Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-sql-at-new-york-technology-partners-4376864488?position=3&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=nhRK9psvDaBD1HXm3acPIw%3D%3D,"Overview: We are seeking an experienced Data Analyst to support content, digital, marketing, and product data initiatives. This role requires strong technical expertise in SQL, data validation, and analytics, as well as experience working in agile, product-oriented environments. Responsibilities: Query, analyze, and validate large, complex datasets using SQL Support data initiatives across content, digital, marketing, or product domains Ensure data quality through governance, metadata management, and validation practices Document technical and data requirements, including data specifications and acceptance criteria Collaborate with cross-functional teams in agile or product-led delivery environments Leverage analytics, BI, and data visualization tools to support business insights Work with data lineage, catalog, or discovery tools as needed Qualifications: Strong SQL skills with hands-on experience querying and validating complex datasets Experience supporting content, digital, marketing, or product data domains Familiarity with data quality, data governance, and metadata management concepts Exposure to analytics, BI, or data visualization tools Experience with data lineage, catalog, or discovery tools Background working in agile or product-oriented environments Strong documentation skills for technical and data requirements Hands-on experience as a Data Analyst or Technical Analyst strongly preferred"
data+analyst,Data Analyst,FanDuel,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-fanduel-4372633461?position=4&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=EjnXAhbT6SZhZx24MT1yqQ%3D%3D,"THE POSITION Our roster has an opening with your name on it FanDuel is looking for a Data Analyst to support Sportsbook Product & Personalization. In this role you will work closely with Sportsbook Product leaders and Data Science teams to deliver insights, reporting and analysis focused on our Sportsbook product and UX. This role sits within a team focused on Feature Engineering and leveraging data and customer insights to power segmentations and predictive models, and this role will support those aims. This is a great opportunity for somebody who wants to work in an environment where curiosity is rewarded and people are empowered to make decisions. The ideal candidate will have a passion for continual learning and developing innovative solutions to business problems. In addition to the specific responsibilities outlined above, employees may be required to perform other such duties as assigned by the Company. This ensures operational flexibility and allows the Company to meet evolving business needs. THE GAME PLAN Everyone on our team has a part to play Deliver clear, high-quality analysis and reporting to support personalization objectives of Sportsbook Product teams Analyze customer behaviors and preferences to surface opportunities to drive positive revenue or CX impacting opportunities Develop and maintain domain expertise on our Sportsbook product and competitive landscape to inform decision-making and identify new opportunities Build and maintain strong working relationships with key stakeholders across Sportsbook Product, Data Science and Analyst teams Build and maintain dashboards with key insights required by stakeholders Through idea generation and exploratory analysis, develop new and innovative ways to turn customer behaviors and preferences into features for use in analysis, segmentation and predictive modeling Support analytics engineering goals to design, build, maintain, and improve data models, datasets, customer metrics, analytics and data visualizations Take responsibility to learn the necessary skills and techniques, in order to work with independence, integrity and accuracy THE STATS What we're looking for in our next teammate Minimum 3 years of experience in a similar role Advanced SQL coding and experience of manipulating large datasets Strong verbal and written communication skills, and the ability to simplify and summarize complex data & analysis to senior stakeholders Proficient in at least one programming language (e.g. Python, R, C# etc.) Strong problem solving ability and attention to detail are important Experience using Python and Databricks an advantage Experience working with data visualization tools like Tableau an advantage Undergraduate degree in a coding heavy or technical discipline Interest in Sports an advantage About Fanduel FanDuel Group is the premier mobile gaming company in the United States and Canada. FanDuel Group consists of a portfolio of leading brands across mobile wagering including: America’s #1 Sportsbook, FanDuel Sportsbook; its leading iGaming platform, FanDuel Casino; the industry’s unquestioned leader in horse racing and advance-deposit wagering, FanDuel Racing; and its daily fantasy sports product. In addition, FanDuel Group operates FanDuel TV, its broadly distributed linear cable television network and FanDuel TV+, its leading direct-to-consumer OTT platform. FanDuel Group has a presence across all 50 states, Canada, and Puerto Rico. The company is based in New York with US offices in Los Angeles, Atlanta, and Jersey City, as well as global offices in Canada and Scotland. The company’s affiliates have offices worldwide, including in Ireland, Portugal, Romania, and Australia. FanDuel Group is a subsidiary of Flutter Entertainment, the world's largest sports betting and gaming operator with a portfolio of globally recognized brands and traded on the New York Stock Exchange (NYSE: FLUT). Player Benefits We treat our team right We offer amazing benefits above and beyond the basics. We have an array of health plans to choose from (some as low as $0 per paycheck) that include programs for fertility and family planning, mental health support, and fitness benefits. We offer generous paid time off (PTO & sick leave), annual bonus and long-term incentive opportunities (based on performance), 401k with up to a 5% match, commuter benefits, pet insurance, and more - check out all our benefits here: FanDuel Total Rewards . *Benefits differ across location, role, and level. FanDuel is an equal opportunities employer and we believe, as one of our principles states, “We are One Team!”. As such, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or any other characteristic protected by state, local or federal law. We believe FanDuel is strongest and best able to compete if all employees feel valued, respected, and included. FanDuel is committed to providing reasonable accommodations for qualified individuals with disabilities. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please email Benefits@fanduel.com. The applicable salary range for this position is $94,000 - $117,500USD, which is dependent on a variety of factors including relevant experience, location, business needs and market demand. This role may offer the following benefits: medical, vision, and dental insurance; life insurance; disability insurance; a 401(k) matching program; among other employee benefits. This role may also be eligible for short-term or long-term incentive compensation, including, but not limited to, cash bonuses and stock program participation. This role includes paid personal time off and 14 paid company holidays. FanDuel offers paid sick time in accordance with all applicable state and federal laws. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability."
data+analyst,Data Analyst,Agility Partners,"Columbus, Ohio Metropolitan Area",https://www.linkedin.com/jobs/view/data-analyst-at-agility-partners-4377435448?position=5&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=2BJvbfyz%2FaLmzrPSrpMTow%3D%3D,"Overview We’re building a brand‑new data and analytics team to support a major initiative: rebuilding the client reporting platform from the ground up. This effort will consolidate existing client reports into a single, cohesive dashboard and file feed, creating a strong foundation for future modernization and AI‑driven capabilities. This is a true Data Analyst role focused on understanding current‑state reporting, defining future‑state requirements, and translating business needs into clear, well‑documented data and visualization solutions. What You’ll Do • Analyze where client reports live today (Cognos, SSIS, server files, etc.) and help define a consolidated, future‑state reporting experience • Perform technical scoping, reporting, and documentation to translate business needs into data and visualization requirements • Partner closely with BI Engineers to ensure data is properly modeled and visualized in Tableau and other reporting tools • Support wireframing, process mapping, and workflow documentation to show how reports and dashboards come together • Collaborate with business and technical stakeholders to validate requirements and ensure data accuracy • Help establish clear reporting standards and documentation as part of a newly formed analytics team Ideal Candidate You enjoy digging into how things work today and helping shape what they should look like tomorrow. You’re comfortable operating between business and technical teams, asking the right questions, and documenting complex concepts in a clear, structured way. You’re hands‑on, detail‑oriented, and excited to help build something from the ground up. Must‑Have Skills • Hands‑on experience as a Data Analyst or Business Systems Analyst • Strong analytical and problem‑solving skills • Basic understanding of SQL • Experience with Tableau or similar BI/reporting tools • Proven experience documenting requirements, workflows, and business logic • Strong communication skills and ability to work with both technical and non‑technical stakeholders Reasons to Love This Role • Opportunity to help build a data and analytics function from scratch • High‑visibility initiative with long‑term impact across the organization • Mix of analytical work, stakeholder collaboration, and strategic scoping • Direct involvement in shaping the future of client reporting and analytics"
data+analyst,Data Analyst,Emonics LLC,"Seattle, WA",https://www.linkedin.com/jobs/view/data-analyst-at-emonics-llc-4375717562?position=6&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=wqONobebpMZeqUJZAnKdeA%3D%3D,"Job description About the role We are seeking an Data Analyst to support data-driven decisions across supply chain operations. This entry-level position is ideal for recent graduates who enjoy analytics, process improvement, and working cross-functionally. What you will do • Analyze supply chain data (demand, inventory, procurement, logistics) to identify trends and gaps • Build and maintain reports and dashboards for KPIs such as OTIF, lead time, fill rate, and inventory turns • Support forecasting and inventory planning activities • Assist with supplier performance tracking and scorecards • Identify process improvements and support documentation of SOPs • Work with stakeholders across procurement, operations, finance, and warehouse teams What you are looking for • Bachelor’s degree in Supply Chain, Industrial Engineering, Business Analytics, Operations, or related field • Strong Excel skills (pivot tables, VLOOKUP/XLOOKUP, charts); comfort with data • Strong attention to detail and problem-solving mindset • Ability to communicate insights clearly to non-technical teams Nice to have • Exposure to SQL, Power BI/Tableau, or Python • Knowledge of ERP systems (SAP, Oracle, NetSuite) or WMS/TMS concepts • Internship or project experience in operations, logistics, or planning"
data+analyst,Data Analyst,Emonics LLC,"Washington, DC",https://www.linkedin.com/jobs/view/data-analyst-at-emonics-llc-4375716662?position=7&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=ylucW9UHs%2B5PUUm7nms4rg%3D%3D,"Job description About the role We are hiring a Data Analyst to help design, build, and deploy ML solutions. This role focuses on turning models into reliable systems and collaborating with engineering teams to operationalize ML. What you will do • Develop and train ML models with reproducible pipelines • Build data preprocessing workflows and feature generation • Deploy models to production and monitor performance • Work with stakeholders to define success metrics and test outcomes • Document experiments and contribute to best practices What you are looking for • Degree in CS, Data Science, Engineering, or related field • Strong Python, data handling (pandas), and ML fundamentals • Familiarity with scikit-learn and basic model evaluation • Understanding of software engineering basics (Git, testing, modular code) Nice to have • PyTorch or TensorFlow • Experience with ML pipelines, Airflow, or workflow orchestration • Exposure to CI/CD, Docker, and cloud services"
data+analyst,Data Analyst,New York Technology Partners,"El Segundo, CA",https://www.linkedin.com/jobs/view/data-analyst-at-new-york-technology-partners-4376837367?position=8&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=hgCpZvrdShQ5aBTGcCn9pA%3D%3D,"Responsibilities: Query, analyze, and validate large, complex datasets using SQL Support data initiatives across content, digital, marketing, or product domains Ensure data quality through governance, metadata management, and validation practices Document technical and data requirements, including data specifications and acceptance criteria Collaborate with cross-functional teams in agile or product-led delivery environments Leverage analytics, BI, and data visualization tools to support business insights Work with data lineage, catalog, or discovery tools as needed Qualifications Strong SQL skills with hands-on experience querying and validating complex datasets Experience supporting content, digital, marketing, or product data domains Familiarity with data quality, data governance, and metadata management concepts Exposure to analytics, BI, or data visualization tools Experience with data lineage, catalog, or discovery tools Background working in agile or product-oriented environments Strong documentation skills for technical and data requirements Hands-on experience as a Data Analyst or Technical Analyst strongly preferred"
data+analyst,Data Analyst,The Barcode Group,"Minneapolis, MN",https://www.linkedin.com/jobs/view/data-analyst-at-the-barcode-group-4374598907?position=9&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=aUv%2FgIlwcvwRVjCzxbxVTQ%3D%3D,"Location: Remote (Preference for candidates located near Minneapolis, MN or Bentonville, AR for potential hybrid collaboration) About The Barcode Group: The Barcode Group is a full-service retail agency connecting brands and retailers across digital and physical marketplaces. We bring deep expertise across Amazon, Walmart, Target, Costco, Kroger, and deliver data-driven solutions and smart growth strategies. We invest in people who are curious, collaborative, and excited by the challenge of improving how work gets done. Join a team where your voice matters and your work drive real results. Position Overvie w: We’re hiring a Data Analyst to support our growing Strategic Services division as part of the Corporate Data + Analytics team. This is a great opportunity for an early-career professional who is comfortable working with data and excited to contribute to cross-functional projects that improve internal systems, tools, and reporting across the company. This role will work closely with the Data + Analytics Team Program Manager and partner with multiple departments to validate data, assist in tool integration, support reporting for major retailers, and help the team scale its capabilities. You’ll gain experience with system integrations, automation tools, and AI-powered workflows, while helping us deliver clean, accurate, and actionable data across teams. Key Responsibilities: Assist in data collection, cleaning, and validation across internal systems, client reports, and third-party data sources Support API-related data pulls and help troubleshoot errors or mismatches with oversight from the Program Manager or3P data partners Collaborate on tool and platform integrations by testing workflows, flagging issues, and documenting results Help manage and update recurring reports and dashboards, ensuring data accuracy and timely delivery Work across divisions (e.g., Walmart, Target, Amazon, Costco, Kroger) to support retail reporting needs and improve reporting consistency Contribute to internal process documentation andassistin creating standardized templates and guides for data workflows Participate in virtual assistant support tasks, workflow routing, and testing automations Provide general project support, task tracking, and collaboration assistance to keep cross-functional work moving forward Preferred Qualifications: 1–2 years of experience in a data-focused or reporting support role (internships, freelance, or agency experience welcome) Strong Excel and/or Google Sheets skills (pivot tables, VLOOKUP/XLOOKUP, filters, data cleaning techniques) Familiarity with or curiosity about tools like Power BI, Tableau,Microsoft Forms or similar Some exposure to APIs, system integrations, or ERP platforms is a plus—but not required Excellent attention to detail and strong organizational habits Eagerness to learn new systems and tools and build cross-functional experience Able to manage multiple projects and priorities in a deadline-driven environment Interest in retail, ecommerce, or consumer brands is a bonus What You Will Gain: Exposure to a variety of platforms, projects, and business teams across the organization Mentorship from a seasoned Program Manager and opportunities to grow your technical skills Hands-on experience with enterprise data tools, reporting systems, and AI/automation platforms The opportunity to work across divisions that support high-profile retailers like Amazon, Walmart, Target, Costco, and Kroger A chance to directly impact efficiency, automation, and scaling across a fast-growing agency"
data+analyst,Data Quality Analyst,Netflix,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-quality-analyst-at-netflix-4353095904?position=10&pageNum=0&refId=s9euE4agk2byexK9YmG2Fw%3D%3D&trackingId=yjq4S%2F%2B2HJjAUbWRw2GqGg%3D%3D,"At Netflix, our mission is to entertain the world. Together, we are writing the next episode - pushing the boundaries of storytelling, global fandom and making the unimaginable a reality. We are a dream team obsessed with the uncomfortable excitement of discovering what happens when you merge creativity, intuition and cutting-edge technology. Come be a part of what’s next. We are looking for a Data Quality Analyst to join the Content Data Management team within Content and Business Products (CBP), which creates applications that drive innovation in content creation. Our team manages data quality for several large operational data sets that are used broadly across these applications. We work closely with product teams to ensure that the data is bringing value to their products while also working to improve underlying data quality through better processes, analysis, guidelines and user education. In this role, you will focus on the Person ID dataset for Cast and Crew (collectively, “Talent”), which is foundational to the application ecosystem. Maintaining properly structured and connected Person IDs is critical to driving a variety of functions for teams in Content, Production, Business and Legal, and beyond. Through a combination of project work and ongoing monitoring, you will shepherd continuous improvements to the talent dataset across a wide variety of domains. Additionally, you will provide Person ID-related support functions for both application support partners and end users. Key partners outside our team include product managers, engineers, designers, application users, as well as customer success and support teams. A successful candidate will love digging into large data sets to find patterns and diagnose problems, have the agility to pivot between heads-down project execution and user-focused problem-solving, and be excited by the opportunity to be part of an evolving team. | Responsibilities Audit and investigate data activity and integrity, preparing summaries of findings for both technical and non-technical audiences Execute data quality initiatives to improve quality metrics involving the Person ID and key entity relationships Partner with Data, Product Management, and Engineering colleagues on configuration, execution, and monitoring of data ingests and new integrations Provide Person ID support to users across the studio, including investigating, diagnosing and resolving more complex issues Educate users on best data practices in order to improve data quality Create more efficient ways to analyze and work with large data sets Create and maintain data documentation | Qualifications 2+ years experience in data/metadata/content management or operations 2+ years experience in a physical production or post-production environment, studio, production company, Below-The-Line agency, or motion picture industry organization Proficiency with Google Suite, table-based applications (e.g. Excel, Airtable), and content management systems Strong analytical skills and an ability to synthesize information across a broad ecosystem to diagnose problems and devise solutions Strong understanding of workflow and ability to recognize inefficiencies Knowledge of data lifecycle and data governance concepts Strong ability to communicate to different audiences Flexible in an evolving environment Excellent time-management skills Experience with industry data tools (Studio System, IMDB, Luminate) Deeply knowledgeable of above the line and below the line talent, agencies, production companies, vendors and studios Nice To Haves Experience with SQL queries and/or basic Python Experience working with product and/or engineering teams Generally, our compensation structure consists solely of hourly pay; we do not have bonuses. You choose each year how much of your compensation you want in hourly pay versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The hourly range for this role is $76.92 - $134.62. Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more details about our Benefits here. Netflix is a unique culture and environment. Learn more here. Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner. We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service."
