search_title,term,mean_tfidf
business+analyst,business analyst,0.041454273991364046
business+analyst,requirements,0.031634819913201856
business+analyst,management,0.030807669336121522
business+analyst,analyst,0.030667061518357037
business+analyst,work,0.029990336589594345
business+analyst,support,0.027927905446633646
business+analyst,process,0.027904062975676394
business+analyst,analysis,0.02655218413539717
business+analyst,project,0.026164568941163254
business+analyst,team,0.024967783258766658
business+analyst,technical,0.02471692453157301
business+analyst,solutions,0.02437583904653788
business+analyst,teams,0.02427566900090002
business+analyst,functional,0.024004888714426683
business+analyst,client,0.02361419362336384
business+analyst,government,0.02280454467280666
business+analyst,including,0.02270915892453978
business+analyst,ability,0.02243989393988095
business+analyst,agile,0.0223715389562972
business+analyst,new,0.02236060981092054
business+analyst,role,0.022116128498546467
business+analyst,documentation,0.022055335660678795
business+analyst,systems,0.021822064211695417
business+analyst,clients,0.021541924189838777
business+analyst,stakeholders,0.021370293431956004
business+analyst,strong,0.021235883092727472
business+analyst,technology,0.02080065042588811
business+analyst,information,0.020452791044819663
business+analyst,operational,0.020346151178170308
business+analyst,years,0.020147263789614258
business+analyst,opportunities,0.020029306741951265
business+analyst,responsibilities,0.019441395444521933
business+analyst,key,0.019215368982142673
business+analyst,processes,0.019196166846017874
business+analyst,operations,0.01912020160485834
business+analyst,communication,0.01902238800644747
business+analyst,identify,0.018780803931166688
business+analyst,tools,0.018528703014445345
business+analyst,user,0.018516351755894014
business+analyst,financial,0.018439268738919202
business+analyst,leadership,0.018093942317223822
business+analyst,improvement,0.017943910818242585
business+analyst,needs,0.01788346692181596
business+analyst,location,0.017728693112214595
business+analyst,business analysis,0.017602646714674743
business+analyst,related,0.01751144394574387
business+analyst,benefits,0.01749830389925806
business+analyst,document,0.017438544020633353
business+analyst,product,0.01741023809904731
business+analyst,jira,0.017390147030659154
business+intelligence+engineer,bi,0.037397947138390786
business+intelligence+engineer,reporting,0.031403331534616975
business+intelligence+engineer,models,0.029797869242192174
business+intelligence+engineer,engineering,0.028973176216425128
business+intelligence+engineer,solutions,0.028621404419964722
business+intelligence+engineer,sql,0.02836863117105577
business+intelligence+engineer,pipelines,0.028254571319211667
business+intelligence+engineer,design,0.027865016318963046
business+intelligence+engineer,business intelligence,0.02730846352961379
business+intelligence+engineer,etl,0.026954259343543913
business+intelligence+engineer,intelligence,0.02616827319694664
business+intelligence+engineer,dashboards,0.025617000197954556
business+intelligence+engineer,analytics,0.025429623436828433
business+intelligence+engineer,developer,0.025293580417779706
business+intelligence+engineer,data models,0.02520038198527249
business+intelligence+engineer,scalable,0.025086452184345295
business+intelligence+engineer,engineer,0.02480310104045253
business+intelligence+engineer,performance,0.02459996993677871
business+intelligence+engineer,technical,0.024517196693337646
business+intelligence+engineer,tools,0.023695947276874848
business+intelligence+engineer,build,0.023560935521847803
business+intelligence+engineer,work,0.023550610894693638
business+intelligence+engineer,strong,0.02352295196505278
business+intelligence+engineer,role,0.02345009017970833
business+intelligence+engineer,development,0.02314813730352638
business+intelligence+engineer,expertise,0.022607900952519192
business+intelligence+engineer,building,0.022436139476318017
business+intelligence+engineer,data engineering,0.022365231573189485
business+intelligence+engineer,support,0.022332897575344533
business+intelligence+engineer,including,0.021885865363871444
business+intelligence+engineer,team,0.021742486553541652
business+intelligence+engineer,teams,0.021713039168256662
business+intelligence+engineer,requirements,0.021504022465944513
business+intelligence+engineer,tableau,0.021458204431950383
business+intelligence+engineer,years,0.02068572543616904
business+intelligence+engineer,ensure,0.020516570901090627
business+intelligence+engineer,data pipelines,0.02030212272385062
business+intelligence+engineer,develop,0.020025416412721136
business+intelligence+engineer,modeling,0.0199329831353061
business+intelligence+engineer,maintain,0.0198884378522529
business+intelligence+engineer,working,0.0198629565278575
business+intelligence+engineer,snowflake,0.019846716199170094
business+intelligence+engineer,ability,0.019715394733279937
business+intelligence+engineer,optimize,0.01956654609399031
business+intelligence+engineer,power,0.01949672950366075
business+intelligence+engineer,practices,0.01937905902822984
business+intelligence+engineer,quality,0.019231081581297386
business+intelligence+engineer,complex,0.01920304228415424
business+intelligence+engineer,visualization,0.019201272843999313
business+intelligence+engineer,python,0.01884713897027469
data+analyst,data analyst,0.03656016620891252
data+analyst,analytics,0.03193284003446197
data+analyst,analysis,0.028266439130456213
data+analyst,analyst,0.027240956512238394
data+analyst,insights,0.026999313472102
data+analyst,work,0.026633581614109888
data+analyst,support,0.026277229418589954
data+analyst,strong,0.02522303868098092
data+analyst,sql,0.024801917023831582
data+analyst,role,0.024025825957787673
data+analyst,bi,0.023624829700060933
data+analyst,tools,0.02320644467889475
data+analyst,team,0.022611947863223247
data+analyst,ability,0.02238949885582911
data+analyst,reports,0.022196228783469885
data+analyst,power,0.02176317518100672
data+analyst,reporting,0.021497874095697478
data+analyst,data analysis,0.02122557152797793
data+analyst,company,0.02111527926543825
data+analyst,science,0.020606427608338657
data+analyst,related,0.02040611963975918
data+analyst,analyze,0.02036835840883649
data+analyst,power bi,0.020234579447526647
data+analyst,years,0.020038159771445452
data+analyst,technical,0.019812897426441326
data+analyst,dashboards,0.01980530264225159
data+analyst,datasets,0.019778236847259427
data+analyst,time,0.019656128601144473
data+analyst,qualifications,0.019389646706539133
data+analyst,visualization,0.019384732508538238
data+analyst,product,0.01932346078741003
data+analyst,working,0.019196719636168532
data+analyst,teams,0.01891306528870302
data+analyst,python,0.018708357156572448
data+analyst,develop,0.01817338062262179
data+analyst,performance,0.018129178309239657
data+analyst,job,0.0180793447046718
data+analyst,quality,0.017693790759440952
data+analyst,trends,0.017688157696301613
data+analyst,information,0.01758474024728735
data+analyst,experience data,0.017568141881039685
data+analyst,based,0.017416726767945066
data+analyst,tableau,0.017362015143645763
data+analyst,stakeholders,0.017267623483895614
data+analyst,status,0.01724516884241033
data+analyst,help,0.017072309596985975
data+analyst,year,0.017064236313889942
data+analyst,requirements,0.01701263394113466
data+analyst,degree,0.01697931904030121
data+analyst,analytical,0.01697653928197219
