term,mean_tfidf
work,0.026724843032799317
support,0.025512677480189386
bi,0.02339226891318401
requirements,0.023383825440093705
strong,0.023327291246253757
analytics,0.02326609065205063
role,0.02319734821201412
reporting,0.023195742592468867
team,0.023107405891843805
technical,0.023015672883784002
solutions,0.022629252531637042
analysis,0.022572144604197698
tools,0.02181036499007165
teams,0.02163392448595318
ability,0.02151492917633005
sql,0.020791357445221297
including,0.02030785207234474
years,0.02029038299907624
analyst,0.02018531355831115
management,0.019362279730367825
performance,0.019152046786819733
stakeholders,0.019093344037317012
insights,0.01882457630851343
time,0.0184440114392004
systems,0.018397852628424364
working,0.018368982138005478
develop,0.018322951363164138
dashboards,0.01823389489039091
development,0.01785360329402696
power,0.01771729121480872
benefits,0.0176558780585444
company,0.017563298719255504
design,0.017528531106964975
information,0.017442031361487854
ensure,0.017323422000735486
related,0.017318478698529503
process,0.017112986330455767
job,0.017027032652676393
engineering,0.01697287082380272
models,0.016669808526765452
complex,0.016651112369433122
reports,0.016631235691702627
maintain,0.016576706571309163
qualifications,0.01653714880296915
needs,0.01648434630101768
product,0.016455618011437387
key,0.016370264365582036
required,0.016342519883500127
responsibilities,0.0163359512976786
based,0.016292545223653476
quality,0.016199682706380884
build,0.016151624156029568
position,0.016047345917295737
technology,0.016041612537134917
using,0.015751880822298274
tableau,0.015733026870462342
analytical,0.0156796836482358
high,0.01538222751092382
preferred,0.015345450922902812
new,0.015333485104441344
range,0.01531190997902142
provide,0.015285860747131522
processes,0.015264264956100395
environment,0.015251674641525955
intelligence,0.015228494325940242
status,0.015198880779878035
functional,0.015127535193988535
science,0.015095105443529046
employees,0.015064261125714882
power bi,0.014998671074019313
communication,0.014914767032752392
degree,0.014860753426351596
knowledge,0.014855774589542715
collaborate,0.014781314159442173
project,0.014620365373507324
documentation,0.014572078950977273
opportunity,0.01449670510274986
years experience,0.01446806430932667
services,0.014370020791553193
building,0.014353053030036995
identify,0.014240279219633308
opportunities,0.01421783394681019
customer,0.014050411473790344
visualization,0.014047961051129404
client,0.013945073634791135
python,0.013931805710280642
compensation,0.01392900794898582
best,0.013900344116475068
ai,0.01385057268482321
business analyst,0.013818091330454689
operational,0.01374397338623281
understanding,0.013550882431027736
driven,0.013545509658235384
operations,0.01341172615293926
partner,0.013342214934134726
expertise,0.013264383651657937
disability,0.013194943942203252
cross,0.01316240029754201
making,0.013141371513185422
health,0.013133986231159375
paid,0.013103565220459851
practices,0.013059945635152007
datasets,0.012995627219711427
decision,0.012991890426788014
help,0.012964400671664277
financial,0.012935283501747014
employment,0.012875660098168172
data analyst,0.012860472057063635
analyze,0.012855754736769937
business intelligence,0.01284905651443663
location,0.012840621749143657
field,0.012837550140359276
agile,0.012809523017757245
ll,0.012782939085746984
data analysis,0.012776971605334633
modeling,0.012751442490288659
deliver,0.012640197905643016
hands,0.012528793069197946
proficiency,0.012466272366508812
platforms,0.012445269256813395
create,0.012344713905380073
translate,0.012309481656795896
drive,0.012242749070544111
use,0.012191850011233681
projects,0.01216213043532936
growth,0.012089528459042508
excel,0.01198250919005135
clear,0.01194726718620318
bachelor,0.011909298884230233
pipelines,0.011897807717283165
impact,0.011876646391379173
gender,0.011856550390130357
year,0.011831955704672052
etl,0.011831672839814783
advanced,0.01180325191972434
initiatives,0.011800346904013909
solving,0.011777720364113954
actionable,0.011767390917510062
computer,0.011748015472061142
environments,0.01173561801195461
insurance,0.011714220942002833
strategic,0.011710746306251702
concepts,0.011683599675196367
metrics,0.01166426366251729
closely,0.011635188862514436
internal,0.011625279194692415
pay,0.011612754983441293
familiarity,0.011593922655479691
multiple,0.011579422153743421
program,0.011541744240384991
leadership,0.0115016517242638
cloud,0.011449879765204007
equal,0.01142783416705342
products,0.011421080358470444
experience working,0.011399549383086087
cross functional,0.011377826099693665
workflows,0.011376775611947835
problem,0.011366153024745279
bachelor degree,0.011272458336924933
data visualization,0.01123411203779201
organization,0.011224726941565554
issues,0.011208873522188852
improve,0.011196244334925871
non,0.0111834472013209
user,0.011177403503811962
candidate,0.011173976376996929
decision making,0.011165994136567983
end,0.011106644135614428
large,0.011089400523303226
trends,0.010997119527071013
employer,0.010995927507871558
day,0.01095807555776893
join,0.010953703486036177
collaboration,0.010942723747631524
data models,0.010922190279238688
medical,0.010912850412533523
enterprise,0.010867172410582545
excellent,0.0108495856084966
learning,0.01078002241453097
salary,0.01077254264365836
governance,0.010760738293621458
application,0.010724276966671864
communication skills,0.010697744241398252
best practices,0.010692842150087088
clients,0.010686255197809915
various,0.010665859244665888
senior,0.010553595961729926
people,0.010521010496842195
perform,0.010516319306380535
world,0.01049240466249434
optimize,0.010491195109859774
applicable,0.010484398338429622
manage,0.010484164105668745
vision,0.010468663108905676
level,0.01043541270309707
problem solving,0.010395028654891178
software,0.010357283401773786
understand,0.010318986013250942
include,0.01027972575950336
scalable,0.01022266016064079
decisions,0.010202618268749578
seeking,0.010196452905750253
industry,0.010170010253549472
data driven,0.010152032781059027
life,0.010146993672282466
service,0.010106596099524872
national,0.010062554805663251
partners,0.0100479755532975
computer science,0.010041209519201162
effectively,0.010029802052763583
communicate,0.010027364828185404
able,0.010026558857768592
highly,0.010023407804373545
related field,0.009980398196014657
experience data,0.009970125488466427
problems,0.009959139860308597
plus,0.009958585570446874
implement,0.009949681222467414
similar,0.009944883988166587
like,0.009931760685615803
data science,0.00993099115540806
offer,0.009918770745881586
remote,0.009908792786492211
applications,0.009899954120534217
finance,0.00988113539209857
platform,0.009868136584364253
security,0.009867745493554377
plan,0.00985770219766788
hands experience,0.00985180091068638
training,0.00984311877856214
microsoft,0.009832319159566812
document,0.009817225216467511
integrity,0.009783365516020576
assist,0.009772183990356854
committed,0.009770344836450798
looking,0.009769317099621515
equal opportunity,0.009762020458940441
office,0.009750066844236585
learn,0.009743365953805306
standards,0.009734976687040122
global,0.009733688332559165
marketing,0.00972486579439559
critical,0.009718414216655867
scale,0.009713514685168904
protected,0.009696155225264538
developing,0.00969013111710569
users,0.009651311599044757
background,0.009644835155356643
automation,0.009632585070807947
culture,0.009597202123921554
future,0.009595846510376487
base,0.00957660805812768
federal,0.0095724619312393
apply,0.009560651996823983
